event,round,player_a,player_b,a_points,b_points,point_diff,winner
Indonesia Open 2024,Final,Shi Yu Qi,Anders Antonsen,,,,1
Indonesia Open 2024,Semifinal,Shi Yu Qi,Li Shifeng,,,,1
Indonesia Open 2024,Semifinal,Anders Antonsen,Kunlavut Vitidsarn,,,,1
Indonesia Open 2024,Quarterfinal,Lee Zii Jia,Kunlavut Vitidsarn,,,,0
Indonesia Open 2024,Quarterfinal,Anders Antonsen,Lakshya Sen,,,,1
Indonesia Open 2024,Quarterfinal,Li Shifeng,Leong Jun Hao,,,,1
Indonesia Open 2024,Quarterfinal,Shi Yu Qi,Toma Junior Popov,,,,1
Indonesia Open 2024,Round of 16,Anders Antonsen,Kantaphon Wangcharoen,,,,1
Indonesia Open 2024,Round of 16,Lakshya Sen,Kenta Nishimoto,,,,1
Indonesia Open 2024,Round of 16,Kunlavut Vitidsarn,Priyanshu Rajawat,,,,1
Indonesia Open 2024,Round of 16,Lee Zii Jia,Weng Hong Yang,,,,1
Indonesia Open 2024,Round of 16,Li Shifeng,Christo Popov,,,,1
Indonesia Open 2024,Round of 16,Leong Jun Hao,Chou Tien Chen,,,,1
Indonesia Open 2024,Round of 16,Toma Junior Popov,Lu Guang Zu,,,,1
Indonesia Open 2024,Round of 16,Shi Yu Qi,Rasmus Gemke,,,,1
Indonesia Open 2024,Round of 32,Anders Antonsen,Lee Cheuk Yiu,,,,1
Indonesia Open 2024,Round of 32,Kantaphon Wangcharoen,Chico Aura Dwi Wardoyo,,,,1
Indonesia Open 2024,Round of 32,Anthony Sinisuka Ginting,Kenta Nishimoto,,,,1
Indonesia Open 2024,Round of 32,Lakshya Sen,Kanta Tsuneyama,,,,1
Indonesia Open 2024,Round of 32,Kunlavut Vitidsarn,Loh Kean Yew,,,,1
Indonesia Open 2024,Round of 32,Priyanshu Rajawat,Prannoy H. S.,,,,1
Indonesia Open 2024,Round of 32,Lee Zii Jia,Ng Ka Long Angus,,,,1
Indonesia Open 2024,Round of 32,Weng Hong Yang,Kiran George,,,,1
Indonesia Open 2024,Round of 32,Christo Popov,Julien Carraggi,,,,1
Indonesia Open 2024,Round of 32,Li Shifeng,Brian Yang,,,,1
Indonesia Open 2024,Round of 32,Chou Tien Chen,Lin Chun Yi,,,,1
Indonesia Open 2024,Round of 32,Leong Jun Hao,Jonatan Christie,,,,1
Indonesia Open 2024,Round of 32,Toma Junior Popov,Wang Tzu Wei,,,,1
Indonesia Open 2024,Round of 32,Rasmus Gemke,Naraoka Kodai,,,,1
Indonesia Open 2024,Round of 32,Lu Guang Zu,Su Li Yang,,,,1
Indonesia Open 2024,Round of 32,Shi Yu Qi,Lei Lan Xi,,,,1
India Open 2024,Final,Shi Yu Qi,Lee Cheuk Yiu,,,,1
India Open 2024,Semifinal,Shi Yu Qi,Prannoy H. S.,,,,1
India Open 2024,Semifinal,Lee Cheuk Yiu,Naraoka Kodai,,,,1
India Open 2024,Quarterfinal,Prannoy H. S.,Wang Tzu Wei,,,,1
India Open 2024,Quarterfinal,Shi Yu Qi,Kenta Nishimoto,,,,1
India Open 2024,Quarterfinal,Lee Cheuk Yiu,Anthony Sinisuka Ginting,,,,1
India Open 2024,Quarterfinal,Naraoka Kodai,Jonatan Christie,,,,1
India Open 2024,Round of 16,Wang Tzu Wei,Su Li Yang,,,,1
India Open 2024,Round of 16,Prannoy H. S.,Priyanshu Rajawat,,,,1
India Open 2024,Round of 16,Shi Yu Qi,Rasmus Gemke,,,,1
India Open 2024,Round of 16,Lee Cheuk Yiu,Kunlavut Vitidsarn,,,,1
India Open 2024,Round of 16,Anthony Sinisuka Ginting,Kenta Nishimoto,,,,1
India Open 2024,Round of 16,Lee Zii Jia,Jonatan Christie,,,,1
India Open 2024,Round of 16,Naraoka Kodai,Takuma Obayashi,,,,1
India Open 2024,Round of 32,Wang Tzu Wei,Kiran George,,,,1
India Open 2024,Round of 32,Su Li Yang,Christo Popov,,,,1
India Open 2024,Round of 32,Prannoy H. S.,Chou Tien Chen,,,,1
India Open 2024,Round of 32,Priyanshu Rajawat,Lakshya Sen,,,,1
India Open 2024,Round of 32,Lee Cheuk Yiu,Kidambi Srikanth,,,,1
India Open 2024,Round of 32,Kunlavut Vitidsarn,Magnus Johannessen,,,,1
India Open 2024,Round of 32,Kenta Nishimoto,Lu Guang Zu,,,,1
India Open 2024,Round of 32,Anthony Sinisuka Ginting,Kanta Tsuneyama,,,,1
India Open 2024,Round of 32,Rasmus Gemke,Lin Chun Yi,,,,1
India Open 2024,Round of 32,Shi Yu Qi,Weng Hong Yang,,,,1
India Open 2024,Round of 32,Lee Zii Jia,Brian Yang,,,,1
India Open 2024,Round of 32,Jonatan Christie,Ng Ka Long Angus,,,,1
India Open 2024,Round of 32,Naraoka Kodai,Toma Junior Popov,,,,1
India Open 2024,Round of 32,Takuma Obayashi,SK Karunakaran,,,,1
All England Open 2024,Final,Jonatan Christie,Anthony Sinisuka Ginting,,,,1
All England Open 2024,Semifinal,Anthony Sinisuka Ginting,Christo Popov,,,,1
All England Open 2024,Semifinal,Jonatan Christie,Lakshya Sen,,,,1
All England Open 2024,Quarterfinal,Anthony Sinisuka Ginting,Viktor Axelsen,,,,1
All England Open 2024,Quarterfinal,Christo Popov,Koki Watanabe,,,,1
All England Open 2024,Quarterfinal,Lakshya Sen,Lee Zii Jia,,,,1
All England Open 2024,Quarterfinal,Jonatan Christie,Shi Yu Qi,,,,1
All England Open 2024,Round of 16,Viktor Axelsen,Weng Hong Yang,,,,1
All England Open 2024,Round of 16,Anthony Sinisuka Ginting,Kenta Nishimoto,,,,1
All England Open 2024,Round of 16,Koki Watanabe,Toma Junior Popov,,,,1
All England Open 2024,Round of 16,Christo Popov,Su Li Yang,,,,1
All England Open 2024,Round of 16,Lee Zii Jia,Loh Kean Yew,,,,1
All England Open 2024,Round of 16,Lakshya Sen,Anders Antonsen,,,,1
All England Open 2024,Round of 16,Jonatan Christie,Kunlavut Vitidsarn,,,,1
All England Open 2024,Round of 16,Shi Yu Qi,Chico Aura Dwi Wardoyo,,,,1
All England Open 2024,Round of 32,Viktor Axelsen,Kidambi Srikanth,,,,1
All England Open 2024,Round of 32,Weng Hong Yang,Lin Chun Yi,,,,1
All England Open 2024,Round of 32,Anthony Sinisuka Ginting,Lee Cheuk Yiu,,,,1
All England Open 2024,Round of 32,Kenta Nishimoto,Brian Yang,,,,1
All England Open 2024,Round of 32,Toma Junior Popov,Li Shifeng,,,,1
All England Open 2024,Round of 32,Koki Watanabe,Wang Tzu Wei,,,,1
All England Open 2024,Round of 32,Su Li Yang,Prannoy H. S.,,,,1
All England Open 2024,Round of 32,Christo Popov,Lee Cheuk Yiu,,,,1
All England Open 2024,Round of 32,Loh Kean Yew,Ng Ka Long Angus,,,,1
All England Open 2024,Round of 32,Lee Zii Jia,Naraoka Kodai,,,,1
All England Open 2024,Round of 32,Lakshya Sen,Magnus Johannessen,,,,1
All England Open 2024,Round of 32,Anders Antonsen,Kanta Tsuneyama,,,,1
All England Open 2024,Round of 32,Jonatan Christie,Chou Tien Chen,,,,1
All England Open 2024,Round of 32,Kunlavut Vitidsarn,Lu Guang Zu,,,,1
All England Open 2024,Round of 32,Chico Aura Dwi Wardoyo,Priyanshu Rajawat,,,,1
All England Open 2024,Round of 32,Shi Yu Qi,Rasmus Gemke,,,,1
India Open 2024,Round of 32,Li Shifeng,Kantaphon Wangcharoen,,,,1
India Open 2024,Round of 32,Koki Watanabe,Lee Cheuk Yiu,,,,1
India Open 2024,Round of 16,Koki Watanabe,Li Shifeng,,,,1
Badminton Asia Championships 2024,Final,Jonatan Christie,Li Shifeng,,,,1
Badminton Asia Championships 2024,Semifinal,Jonatan Christie,Shi Yu Qi,,,,1
Badminton Asia Championships 2024,Semifinal,Li Shifeng,Naraoka Kodai,,,,1
Badminton Asia Championships 2024,Quarterfinal,Shi Yu Qi,Kunlavut Vitidsarn,,,,1
Badminton Asia Championships 2024,Quarterfinal,Jonatan Christie,Lee Zii Jia,,,,1
Badminton Asia Championships 2024,Quarterfinal,Naraoka Kodai,Lin Chun Yi,,,,1
Badminton Asia Championships 2024,Quarterfinal,Li Shifeng,Anthony Sinisuka Ginting,,,,1
Badminton Asia Championships 2024,Round of 16,Shi Yu Qi,Kenta Nishimoto,,,,1
Badminton Asia Championships 2024,Round of 16,Kunlavut Vitidsarn,Nguyen Hai Dang,,,,1
Badminton Asia Championships 2024,Round of 16,Jonatan Christie,Lee Cheuk Yiu,,,,1
Badminton Asia Championships 2024,Round of 16,Lee Zii Jia,Chou Tien Chen,,,,1
Badminton Asia Championships 2024,Round of 16,Lin Chun Yi,Prannoy H. S.,,,,1
Badminton Asia Championships 2024,Round of 16,Naraoka Kodai,Jeon Hyeok Jin,,,,1
Badminton Asia Championships 2024,Round of 16,Li Shifeng,Wang Tzu Wei,,,,1
Badminton Asia Championships 2024,Round of 16,Anthony Sinisuka Ginting,Somi Romdhani,,,,1
Badminton Asia Championships 2024,Round of 32,Shi Yu Qi,Lakshya Sen,,,,1
Badminton Asia Championships 2024,Round of 32,Kenta Nishimoto,Loh Kean Yew,,,,1
Badminton Asia Championships 2024,Round of 32,Kunlavut Vitidsarn,Prince Dahal,,,,1
Badminton Asia Championships 2024,Round of 32,Nguyen Hai Dang,Viren Nettasinghe,,,,1
Badminton Asia Championships 2024,Round of 32,Jonatan Christie,J Albo,,,,1
Badminton Asia Championships 2024,Round of 32,Lee Cheuk Yiu,Koki Watanabe,,,,1
Badminton Asia Championships 2024,Round of 32,Lee Zii Jia,Priyanshu Rajawat,,,,1
Badminton Asia Championships 2024,Round of 32,Chou Tien Chen,Weng Hong Yang,,,,1
Badminton Asia Championships 2024,Round of 32,Lin Chun Yi,Pui Pang Fong,,,,1
Badminton Asia Championships 2024,Round of 32,Prannoy H. S.,Lu Guang Zu,,,,1
Badminton Asia Championships 2024,Round of 32,Jeon Hyeok Jin,Dmitriy Panarin,,,,1
Badminton Asia Championships 2024,Round of 32,Naraoka Kodai,Ng Ka Long Angus,,,,1
Badminton Asia Championships 2024,Round of 32,Wang Tzu Wei,Ng Tze Yong,,,,1
Badminton Asia Championships 2024,Round of 32,Li Shifeng,Mahd Shaikh,,,,1
Badminton Asia Championships 2024,Round of 32,Somi Romdhani,Kanta Tsuneyama,,,,1
Badminton Asia Championships 2024,Round of 32,Anthony Sinisuka Ginting,Kidambi Srikanth,,,,1
Thailand Open 2024,Final,Lee Zii Jia,Ng Ka Long Angus,,,,1
Thailand Open 2024,Semifinal,Ng Ka Long Angus,Kunlavut Vitidsarn,,,,1
Thailand Open 2024,Semifinal,Lee Zii Jia,Chou Tien Chen,,,,1
Thailand Open 2024,Quarterfinal,Ng Ka Long Angus,Lee Cheuk Yiu,,,,1
Thailand Open 2024,Quarterfinal,Kunlavut Vitidsarn,Meiraba Luwang Maisnam,,,,1
Thailand Open 2024,Quarterfinal,Lee Zii Jia,Lu Guang Zu,,,,1
Thailand Open 2024,Quarterfinal,Chou Tien Chen,Naraoka Kodai,,,,1
Thailand Open 2024,Round of 16,Ng Ka Long Angus,Zhao Jun Peng,,,,1
Thailand Open 2024,Round of 16,Lee Cheuk Yiu,Wang Tzu Wei,,,,1
Thailand Open 2024,Round of 16,Kunlavut Vitidsarn,Leong Jun Hao,,,,1
Thailand Open 2024,Round of 16,Meiraba Luwang Maisnam,Mads Christophersen,,,,1
Thailand Open 2024,Round of 16,Lu Guang Zu,Koki Watanabe,,,,1
Thailand Open 2024,Round of 16,Lee Zii Jia,Jeon Hyeok Jin,,,,1
Thailand Open 2024,Round of 16,Chou Tien Chen,Chi Yu Jen,,,,1
Thailand Open 2024,Round of 16,Naraoka Kodai,Jason Gunawan,,,,1
Thailand Open 2024,Round of 32,Ng Ka Long Angus,Anders Antonsen,,,,1
Thailand Open 2024,Round of 32,Zhao Jun Peng,Panitchaphon Teeraratsakul,,,,1
Thailand Open 2024,Round of 32,Wang Tzu Wei,Loh Kean Yew,,,,1
Thailand Open 2024,Round of 32,Lee Cheuk Yiu,Misha Zilberman,,,,1
Thailand Open 2024,Round of 32,Kunlavut Vitidsarn,Rasmus Gemke,,,,1
Thailand Open 2024,Round of 32,Leong Jun Hao,Su Li Yang,,,,1
Thailand Open 2024,Round of 32,Meiraba Luwang Maisnam,Prannoy H. S.,,,,1
Thailand Open 2024,Round of 32,Mads Christophersen,Kiran George,,,,1
Thailand Open 2024,Round of 32,Koki Watanabe,Chan Yin Chak,,,,1
Thailand Open 2024,Round of 32,Lu Guang Zu,Kantaphon Wangcharoen,,,,1
Thailand Open 2024,Round of 32,Jeon Hyeok Jin,Magnus Johannessen,,,,1
Thailand Open 2024,Round of 32,Lee Zii Jia,Lei Lan Xi,,,,1
Thailand Open 2024,Round of 32,Chi Yu Jen,Julien Carraggi,,,,1
Thailand Open 2024,Round of 32,Chou Tien Chen,Takuma Obayashi,,,,1
Thailand Open 2024,Round of 32,Jason Gunawan,SK Karunakaran,,,,1
Thailand Open 2024,Round of 32,Naraoka Kodai,Koo Takahashi,,,,1
Malaysia Masters 2024,Final,Viktor Axelsen,Lee Zii Jia,,,,1
Malaysia Masters 2024,Semifinal,Viktor Axelsen,Lu Guang Zu,,,,1
Malaysia Masters 2024,Semifinal,Lee Zii Jia,Ng Ka Long Angus,,,,1
Malaysia Masters 2024,Quarterfinal,Viktor Axelsen,Chou Tien Chen,,,,1
Malaysia Masters 2024,Quarterfinal,Lu Guang Zu,Jason Gunawan,,,,1
Malaysia Masters 2024,Quarterfinal,Ng Ka Long Angus,Li Shifeng,,,,1
Malaysia Masters 2024,Quarterfinal,Lee Zii Jia,Anders Antonsen,,,,1
Malaysia Masters 2024,Round of 16,Viktor Axelsen,Panitchaphon Teeraratsakul,,,,1
Malaysia Masters 2024,Round of 16,Chou Tien Chen,Koo Takahashi,,,,1
Malaysia Masters 2024,Round of 16,Lu Guang Zu,Wang Tzu Wei,,,,1
Malaysia Masters 2024,Round of 16,Jason Gunawan,Chico Aura Dwi Wardoyo,,,,1
Malaysia Masters 2024,Round of 16,Ng Ka Long Angus,Lee Cheuk Yiu,,,,1
Malaysia Masters 2024,Round of 16,Li Shifeng,Leong Jun Hao,,,,1
Malaysia Masters 2024,Round of 16,Lee Zii Jia,Kiran George,,,,1
Malaysia Masters 2024,Round of 16,Anders Antonsen,Magnus Johannessen,,,,1
Malaysia Masters 2024,Round of 32,Viktor Axelsen,Koki Watanabe,,,,1
Malaysia Masters 2024,Round of 32,Panitchaphon Teeraratsakul,Chi Yu Jen,,,,1
Malaysia Masters 2024,Round of 32,Chou Tien Chen,Rasmus Gemke,,,,1
Malaysia Masters 2024,Round of 32,Koo Takahashi,Christo Popov,,,,1
Malaysia Masters 2024,Round of 32,Wang Tzu Wei,Loh Kean Yew,,,,1
Malaysia Masters 2024,Round of 32,Lu Guang Zu,Lee Chiao Hao,,,,1
Malaysia Masters 2024,Round of 32,Chico Aura Dwi Wardoyo,Lin Chun Yi,,,,1
Malaysia Masters 2024,Round of 32,Jason Gunawan,Julien Carraggi,,,,1
Malaysia Masters 2024,Round of 32,Ng Ka Long Angus,Kantaphon Wangcharoen,,,,1
Malaysia Masters 2024,Round of 32,Lee Cheuk Yiu,Ygor Coelho,,,,1
Malaysia Masters 2024,Round of 32,Leong Jun Hao,Lei Lan Xi,,,,1
Malaysia Masters 2024,Round of 32,Li Shifeng,Toma Junior Popov,,,,1
Malaysia Masters 2024,Round of 32,Kiran George,Takuma Obayashi,,,,1
Malaysia Masters 2024,Round of 32,Lee Zii Jia,Zhao Jun Peng,,,,1
Malaysia Masters 2024,Round of 32,Magnus Johannessen,Brian Yang,,,,1
Malaysia Masters 2024,Round of 32,Anders Antonsen,Shesar Hiren Rhustavito,,,,1
Singapore Open 2024,Final,Shi Yu Qi,Li Shifeng,,,,1
Singapore Open 2024,Semifinal,Li Shifeng,Viktor Axelsen,,,,1
Singapore Open 2024,Semifinal,Shi Yu Qi,Chou Tien Chen,,,,1
Singapore Open 2024,Quarterfinal,Viktor Axelsen,Leong Jun Hao,,,,1
Singapore Open 2024,Quarterfinal,Li Shifeng,Loh Kean Yew,,,,1
Singapore Open 2024,Quarterfinal,Chou Tien Chen,Kenta Nishimoto,,,,1
Singapore Open 2024,Quarterfinal,Shi Yu Qi,Naraoka Kodai,,,,1
Singapore Open 2024,Round of 16,Viktor Axelsen,Lin Chun Yi,,,,1
Singapore Open 2024,Round of 16,Leong Jun Hao,Anthony Sinisuka Ginting,,,,1
Singapore Open 2024,Round of 16,Loh Kean Yew,Anders Antonsen,,,,1
Singapore Open 2024,Round of 16,Li Shifeng,Lee Cheuk Yiu,,,,1
Singapore Open 2024,Round of 16,Kenta Nishimoto,Prannoy H. S.,,,,1
Singapore Open 2024,Round of 16,Chou Tien Chen,Brian Yang,,,,1
Singapore Open 2024,Round of 16,Naraoka Kodai,Chico Aura Dwi Wardoyo,,,,1
Singapore Open 2024,Round of 16,Shi Yu Qi,Weng Hong Yang,,,,1
Singapore Open 2024,Round of 32,Viktor Axelsen,Lakshya Sen,,,,1
Singapore Open 2024,Round of 32,Lin Chun Yi,Ng Ka Long Angus,,,,1
Singapore Open 2024,Round of 32,Anthony Sinisuka Ginting,Lee Zii Jia,,,,1
Singapore Open 2024,Round of 32,Leong Jun Hao,Kanta Tsuneyama,,,,1
Singapore Open 2024,Round of 32,Anders Antonsen,Rasmus Gemke,,,,1
Singapore Open 2024,Round of 32,Loh Kean Yew,Lu Guang Zu,,,,1
Singapore Open 2024,Round of 32,Li Shifeng,Lei Lan Xi,,,,1
Singapore Open 2024,Round of 32,Lee Cheuk Yiu,Priyanshu Rajawat,,,,1
Singapore Open 2024,Round of 32,Kenta Nishimoto,Su Li Yang,,,,1
Singapore Open 2024,Round of 32,Prannoy H. S.,Julien Carraggi,,,,1
Singapore Open 2024,Round of 32,Brian Yang,Christo Popov,,,,1
Singapore Open 2024,Round of 32,Chou Tien Chen,Jonatan Christie,,,,1
Singapore Open 2024,Round of 32,Chico Aura Dwi Wardoyo,Toma Junior Popov,,,,1
Singapore Open 2024,Round of 32,Naraoka Kodai,Kidambi Srikanth,,,,1
Singapore Open 2024,Round of 32,Weng Hong Yang,Wang Tzu Wei,,,,1
Singapore Open 2024,Round of 32,Shi Yu Qi,Magnus Johannessen,,,,1
